id_chamado,cliente,data_abertura,prioridade,descricao
1,Kaitlyn Martinez,2024-06-10,Alta,Enough price reason happen impact effect leader great time.
2,Jacqueline Campbell,2024-06-13,Alta,Effect there industry become eye fund.
3,Wendy Stanton,2024-06-15,Crítica,Skill sound somebody break significant whether although.
4,Hunter Fernandez,2024-06-18,Alta,Teacher wait create various raise seem job run conference stand full.
5,Cathy Hamilton,2024-06-19,Crítica,Hand newspaper room scientist take they cause question.
6,Gavin Mclaughlin,2024-06-23,Crítica,Late design hair deep might shoulder behavior thought.
7,Patrick Shepherd,2024-06-25,Baixa,News coach style direction research skill scientist voice score agreement during.
8,Eric Chambers,2024-06-29,Alta,Still increase I throw many conference anyone.
9,Julie Stevens,2024-07-01,Média,Skin south deal attorney really successful fast usually.
10,Dr. Michelle Lopez,2024-07-06,Média,Letter rich your economic student specific difficult.
